filepath,gill_discolouration,lesions,red_spots,ulcers,black_gills,white_spots,lethargy
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (55).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (19).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (12).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (112).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (29).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (16).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (32).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (99).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (73).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (33).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (3).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (113).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (46).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (36).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (30).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (24).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (85).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (56).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (48).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (88).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (42).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (4).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (79).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (40).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (81).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (25).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (103).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (76).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (74).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (106).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (86).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (71).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (65).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (27).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (80).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (84).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (13).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (31).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (6).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (17).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (89).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (10).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (15).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (52).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (67).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (35).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (87).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (49).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (68).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (62).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (98).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (26).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (41).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (114).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (102).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV_BG/WSSV_BG (54).jpg,0,0,0,0,1,1,1
/home/techpark-11/DYNAMO/AquaVerse/ml/datasets/raw_images/shrimp_diseases/An Image Dataset for Computer Vision-Based Detection of Shrimp Diseases/Original/Disease/WSSV/WSSV (38).jpg,0,0,0,0,0,1,1
