cycle_id,species,season,management_quality,fault_injected,fault_type,harvest_weight_g,harvest_survival,total_stress_hours,final_do_surface,final_tan_mgl,final_ph
36,Penaeus_monodon,summer,excellent,False,none,21.31,1.0,0.0,4.29,0.505,7.97
37,Litopenaeus_vannamei,summer,poor,False,none,21.31,1.0,0.0,4.29,0.526,7.97
38,Penaeus_monodon,winter,excellent,True,stratification_collapse,21.31,1.0,0.0,4.28,0.506,7.97
39,Litopenaeus_vannamei,northeast,very_poor,True,stratification_collapse,21.31,1.0,0.0,4.46,0.525,7.97
40,Penaeus_monodon,summer,good,False,none,21.31,1.0,0.0,4.5,0.503,7.97
41,Penaeus_monodon,northeast,good,False,none,21.31,1.0,0.0,4.38,0.51,7.97
42,Litopenaeus_vannamei,summer,poor,False,none,21.31,1.0,0.0,4.02,0.553,7.97
43,Litopenaeus_vannamei,northeast,good,False,none,21.31,1.0,0.0,4.51,0.511,7.97
44,Penaeus_monodon,summer,good,True,stratification_collapse,21.31,1.0,0.0,4.48,0.507,7.97
45,Penaeus_monodon,winter,very_poor,True,stratification_collapse,21.31,1.0,0.0,4.54,0.52,7.97
46,Litopenaeus_vannamei,winter,excellent,False,none,21.31,1.0,0.0,4.56,0.519,7.97
47,Penaeus_monodon,summer,very_poor,False,none,21.31,1.0,0.0,4.43,0.517,7.97
48,Penaeus_monodon,monsoon,poor,False,none,21.31,1.0,0.0,4.76,0.508,7.97
49,Litopenaeus_vannamei,northeast,very_poor,False,none,21.31,1.0,0.0,4.31,0.559,7.97
50,Penaeus_monodon,northeast,poor,True,stratification_collapse,21.31,1.0,0.0,4.35,0.515,7.97
51,Litopenaeus_vannamei,monsoon,good,True,stratification_collapse,21.31,1.0,0.0,4.72,0.524,7.97
52,Penaeus_monodon,summer,very_poor,False,none,21.31,1.0,0.0,4.5,0.516,7.97
53,Litopenaeus_vannamei,winter,very_poor,False,none,21.31,1.0,0.0,3.54,0.553,7.97
54,Litopenaeus_vannamei,winter,poor,False,none,21.31,1.0,0.0,4.07,0.534,7.97
55,Litopenaeus_vannamei,monsoon,good,False,none,21.31,1.0,0.0,4.83,0.516,7.97
56,Litopenaeus_vannamei,winter,poor,False,none,21.31,1.0,0.0,3.87,0.525,7.97
57,Litopenaeus_vannamei,northeast,excellent,False,none,21.31,1.0,0.0,4.57,0.521,7.97
58,Litopenaeus_vannamei,monsoon,good,True,stratification_collapse,21.31,1.0,0.0,4.8,0.52,7.97
59,Litopenaeus_vannamei,summer,very_poor,False,none,21.31,1.0,0.0,4.18,0.537,7.97
60,Penaeus_monodon,northeast,good,False,none,21.31,1.0,0.0,4.68,0.506,7.97
61,Penaeus_monodon,monsoon,good,False,none,21.31,1.0,0.0,4.61,0.509,7.97
62,Litopenaeus_vannamei,summer,good,False,none,21.31,1.0,0.0,3.73,0.511,7.97
63,Penaeus_monodon,winter,poor,False,none,21.31,1.0,0.0,4.42,0.507,7.97
64,Penaeus_monodon,summer,very_poor,True,stratification_collapse,21.31,1.0,0.0,4.35,0.517,7.97
65,Penaeus_monodon,northeast,poor,False,none,21.31,1.0,0.0,4.66,0.513,7.97
66,Litopenaeus_vannamei,northeast,very_poor,False,none,21.31,1.0,0.0,3.74,0.582,7.97
67,Litopenaeus_vannamei,summer,very_poor,False,none,21.31,1.0,0.0,4.24,0.534,7.97
68,Penaeus_monodon,summer,good,False,none,21.31,1.0,0.0,4.09,0.505,7.97
69,Litopenaeus_vannamei,summer,good,True,stratification_collapse,21.31,1.0,0.0,4.05,0.522,7.97
70,Litopenaeus_vannamei,northeast,very_poor,False,none,21.31,1.0,0.0,3.87,0.583,7.97
71,Penaeus_monodon,summer,poor,False,none,21.31,1.0,0.0,3.77,0.505,7.97
72,Litopenaeus_vannamei,monsoon,poor,False,none,21.31,1.0,0.0,4.19,0.552,7.97
73,Penaeus_monodon,summer,very_poor,False,none,21.31,1.0,0.0,3.94,0.515,7.97
74,Litopenaeus_vannamei,northeast,excellent,False,none,21.31,1.0,0.0,4.6,0.508,7.97
75,Penaeus_monodon,winter,very_poor,True,stratification_collapse,21.31,1.0,0.0,4.36,0.517,7.97
76,Penaeus_monodon,winter,very_poor,False,none,21.31,1.0,0.0,4.55,0.511,7.97
77,Penaeus_monodon,northeast,good,False,none,21.31,1.0,0.0,4.64,0.509,7.97
78,Litopenaeus_vannamei,summer,poor,True,stratification_collapse,21.31,1.0,0.0,3.79,0.529,7.97
79,Litopenaeus_vannamei,winter,poor,False,none,21.31,1.0,0.0,3.76,0.523,7.97
80,Penaeus_monodon,winter,very_poor,False,none,21.31,1.0,0.0,4.57,0.521,7.97
81,Penaeus_monodon,northeast,very_poor,False,none,21.31,1.0,0.0,4.12,0.529,7.97
82,Litopenaeus_vannamei,winter,poor,False,none,21.31,1.0,0.0,4.37,0.527,7.97
83,Penaeus_monodon,winter,excellent,True,stratification_collapse,21.31,1.0,0.0,3.98,0.502,7.97
84,Penaeus_monodon,summer,very_poor,False,none,21.31,1.0,0.0,4.3,0.512,7.97
85,Litopenaeus_vannamei,summer,poor,False,none,21.31,1.0,0.0,4.0,0.547,7.97
86,Litopenaeus_vannamei,northeast,excellent,False,none,21.31,1.0,0.0,4.36,0.512,7.97
87,Litopenaeus_vannamei,monsoon,excellent,True,stratification_collapse,13.25,1.0,7.0,4.69,0.514,7.97
88,Penaeus_monodon,monsoon,poor,False,none,21.31,1.0,0.0,4.7,0.516,7.97
89,Litopenaeus_vannamei,northeast,good,True,other,1.24,0.0471,1533.0,0.0,2.512,7.97
90,Litopenaeus_vannamei,summer,very_poor,False,none,21.31,1.0,0.0,4.27,0.536,7.97
91,Litopenaeus_vannamei,monsoon,good,False,none,21.31,1.0,0.0,4.42,0.515,7.97
92,Penaeus_monodon,northeast,excellent,False,none,21.31,1.0,0.0,4.53,0.507,7.97
93,Penaeus_monodon,northeast,excellent,False,none,21.31,1.0,0.0,4.6,0.508,7.97
94,Litopenaeus_vannamei,summer,poor,True,stratification_collapse,21.31,1.0,0.0,4.13,0.523,7.97
95,Litopenaeus_vannamei,winter,excellent,False,none,21.31,1.0,0.0,4.4,0.515,7.97
96,Penaeus_monodon,northeast,very_poor,True,stratification_collapse,21.31,1.0,0.0,4.35,0.509,7.97
97,Litopenaeus_vannamei,winter,poor,False,none,21.31,1.0,0.0,3.89,0.53,7.97
98,Penaeus_monodon,summer,poor,True,stratification_collapse,21.31,1.0,0.0,4.4,0.519,7.97
99,Penaeus_monodon,winter,good,False,none,21.31,1.0,0.0,4.47,0.505,7.97
100,Litopenaeus_vannamei,winter,very_poor,False,none,21.31,1.0,0.0,3.78,0.542,7.97
101,Litopenaeus_vannamei,northeast,very_poor,False,none,21.31,1.0,0.0,4.31,0.557,7.97
102,Litopenaeus_vannamei,northeast,good,False,none,21.31,1.0,0.0,4.52,0.519,7.97
103,Penaeus_monodon,monsoon,excellent,False,none,21.31,1.0,0.0,4.74,0.504,7.97
104,Litopenaeus_vannamei,monsoon,good,False,none,21.31,1.0,0.0,4.29,0.537,7.97
105,Penaeus_monodon,summer,excellent,False,none,21.31,1.0,0.0,4.49,0.503,7.97
106,Penaeus_monodon,summer,very_poor,True,stratification_collapse,21.31,1.0,0.0,4.07,0.51,7.97
107,Litopenaeus_vannamei,winter,very_poor,True,stratification_collapse,21.31,1.0,0.0,3.92,0.542,7.97
108,Litopenaeus_vannamei,summer,very_poor,True,other,0.46,0.0161,2069.0,0.0,2.525,7.97
109,Penaeus_monodon,monsoon,very_poor,False,none,21.31,1.0,0.0,4.83,0.518,7.97
110,Penaeus_monodon,monsoon,very_poor,False,none,21.31,1.0,0.0,4.58,0.507,7.97
111,Litopenaeus_vannamei,northeast,very_poor,False,none,21.31,1.0,0.0,4.24,0.545,7.97
112,Penaeus_monodon,northeast,very_poor,False,none,21.31,1.0,0.0,4.49,0.514,7.97
113,Litopenaeus_vannamei,northeast,excellent,True,sensor_fault,21.31,1.0,0.0,4.29,0.508,7.97
114,Litopenaeus_vannamei,summer,poor,False,none,21.31,1.0,0.0,4.21,0.525,7.97
115,Penaeus_monodon,monsoon,excellent,True,stratification_collapse,21.31,1.0,0.0,4.8,0.504,7.97
116,Penaeus_monodon,summer,excellent,False,none,21.31,1.0,0.0,4.35,0.504,7.97
117,Litopenaeus_vannamei,monsoon,good,False,none,21.31,1.0,0.0,4.73,0.523,7.97
118,Litopenaeus_vannamei,northeast,excellent,False,none,21.31,1.0,0.0,4.52,0.515,7.97
119,Penaeus_monodon,monsoon,very_poor,False,none,21.31,1.0,0.0,4.82,0.509,7.97
120,Litopenaeus_vannamei,monsoon,very_poor,False,none,21.31,1.0,0.0,4.61,0.54,7.97
121,Litopenaeus_vannamei,monsoon,very_poor,False,none,21.31,1.0,0.0,4.31,0.525,7.97
122,Litopenaeus_vannamei,northeast,excellent,False,none,21.31,1.0,0.0,4.46,0.522,7.97
123,Litopenaeus_vannamei,northeast,excellent,False,none,21.31,1.0,0.0,4.41,0.515,7.97
124,Penaeus_monodon,summer,good,False,none,21.31,1.0,0.0,4.24,0.506,7.97
125,Litopenaeus_vannamei,monsoon,poor,True,stratification_collapse,21.31,1.0,0.0,4.29,0.536,7.97
126,Litopenaeus_vannamei,winter,good,False,none,21.31,1.0,0.0,4.38,0.512,7.97
127,Litopenaeus_vannamei,summer,excellent,False,none,21.31,1.0,0.0,4.48,0.514,7.97
128,Litopenaeus_vannamei,winter,poor,False,none,21.31,1.0,0.0,4.24,0.542,7.97
129,Penaeus_monodon,summer,very_poor,False,none,21.31,1.0,0.0,3.89,0.507,7.97
130,Penaeus_monodon,northeast,very_poor,False,none,21.31,1.0,0.0,4.59,0.519,7.97
131,Penaeus_monodon,northeast,excellent,False,none,21.31,1.0,0.0,4.74,0.503,7.97
132,Penaeus_monodon,monsoon,very_poor,False,none,21.31,1.0,0.0,4.84,0.514,7.97
133,Penaeus_monodon,northeast,very_poor,False,none,21.31,1.0,0.0,4.51,0.521,7.97
134,Penaeus_monodon,monsoon,good,False,none,21.31,1.0,0.0,4.61,0.508,7.97
135,Penaeus_monodon,northeast,very_poor,True,stratification_collapse,21.31,1.0,0.0,4.47,0.508,7.97
136,Penaeus_monodon,summer,very_poor,False,none,21.31,1.0,0.0,3.93,0.509,7.97
137,Litopenaeus_vannamei,monsoon,very_poor,False,none,21.31,1.0,0.0,4.72,0.525,7.97
138,Litopenaeus_vannamei,winter,very_poor,False,none,21.31,1.0,0.0,4.35,0.531,7.97
139,Litopenaeus_vannamei,northeast,excellent,False,none,21.31,1.0,0.0,4.2,0.513,7.97
140,Litopenaeus_vannamei,summer,poor,True,stratification_collapse,21.31,1.0,0.0,4.41,0.522,7.97
141,Litopenaeus_vannamei,winter,good,False,none,21.31,1.0,0.0,4.47,0.513,7.97
142,Penaeus_monodon,monsoon,very_poor,False,none,21.31,1.0,0.0,4.67,0.506,7.97
143,Litopenaeus_vannamei,summer,excellent,False,none,21.31,1.0,0.0,4.32,0.513,7.97
144,Penaeus_monodon,summer,very_poor,True,stratification_collapse,21.31,1.0,0.0,4.24,0.519,7.97
145,Penaeus_monodon,summer,very_poor,False,none,21.31,1.0,0.0,4.38,0.519,7.97
146,Litopenaeus_vannamei,monsoon,poor,False,none,21.31,1.0,0.0,4.14,0.538,7.97
147,Litopenaeus_vannamei,winter,very_poor,False,none,21.31,1.0,0.0,4.24,0.557,7.97
148,Penaeus_monodon,summer,very_poor,False,none,21.31,1.0,0.0,4.06,0.518,7.97
149,Litopenaeus_vannamei,summer,poor,False,none,21.31,1.0,0.0,3.77,0.528,7.97
150,Penaeus_monodon,winter,good,False,none,21.31,1.0,0.0,4.27,0.509,7.97
151,Penaeus_monodon,monsoon,poor,False,none,21.31,1.0,0.0,4.61,0.511,7.97
152,Penaeus_monodon,monsoon,very_poor,False,none,21.31,1.0,0.0,4.28,0.523,7.97
153,Penaeus_monodon,summer,excellent,True,stratification_collapse,21.31,1.0,0.0,4.41,0.505,7.97
154,Litopenaeus_vannamei,winter,very_poor,True,stratification_collapse,21.31,1.0,0.0,3.93,0.572,7.97
155,Penaeus_monodon,winter,very_poor,False,none,21.31,1.0,0.0,4.03,0.514,7.97
156,Penaeus_monodon,winter,good,False,none,21.31,1.0,0.0,4.4,0.509,7.97
157,Penaeus_monodon,monsoon,good,False,none,21.31,1.0,0.0,4.55,0.509,7.97
158,Litopenaeus_vannamei,summer,excellent,False,none,21.31,1.0,0.0,3.79,0.52,7.97
159,Penaeus_monodon,monsoon,very_poor,True,stratification_collapse,21.31,1.0,0.0,4.6,0.507,7.97
160,Litopenaeus_vannamei,northeast,very_poor,False,none,21.31,1.0,0.0,4.42,0.541,7.97
161,Litopenaeus_vannamei,monsoon,good,False,none,21.31,1.0,0.0,4.72,0.512,7.97
162,Litopenaeus_vannamei,monsoon,good,False,none,21.31,1.0,0.0,4.19,0.52,7.97
163,Penaeus_monodon,monsoon,very_poor,False,none,21.31,1.0,0.0,4.5,0.515,7.97
164,Litopenaeus_vannamei,northeast,poor,False,none,21.31,1.0,0.0,4.58,0.532,7.97
165,Litopenaeus_vannamei,summer,very_poor,True,sensor_fault,21.31,1.0,0.0,3.57,0.582,7.97
166,Litopenaeus_vannamei,winter,very_poor,False,none,21.31,1.0,0.0,4.17,0.546,7.97
167,Litopenaeus_vannamei,summer,poor,False,none,21.31,1.0,0.0,3.96,0.536,7.97
168,Litopenaeus_vannamei,northeast,very_poor,False,none,21.31,1.0,0.0,4.18,0.567,7.97
169,Penaeus_monodon,monsoon,excellent,False,none,21.31,1.0,0.0,4.48,0.505,7.97
170,Penaeus_monodon,northeast,poor,False,none,21.31,1.0,0.0,4.45,0.508,7.97
171,Penaeus_monodon,winter,excellent,False,none,21.31,1.0,0.0,4.23,0.506,7.97
172,Penaeus_monodon,monsoon,good,False,none,21.31,1.0,0.0,4.87,0.509,7.97
173,Penaeus_monodon,winter,poor,False,none,21.31,1.0,0.0,4.08,0.504,7.97
174,Litopenaeus_vannamei,winter,excellent,False,none,21.31,1.0,0.0,4.21,0.509,7.97
175,Penaeus_monodon,monsoon,excellent,True,stratification_collapse,21.31,1.0,0.0,4.83,0.503,7.97
176,Litopenaeus_vannamei,summer,good,False,none,21.31,1.0,0.0,4.16,0.518,7.97
177,Litopenaeus_vannamei,winter,very_poor,False,none,21.31,1.0,0.0,4.37,0.526,7.97
178,Litopenaeus_vannamei,winter,good,False,none,21.31,1.0,0.0,4.43,0.52,7.97
179,Litopenaeus_vannamei,summer,excellent,True,stratification_collapse,21.31,1.0,0.0,4.53,0.511,7.97
180,Litopenaeus_vannamei,summer,excellent,True,sensor_fault,21.31,1.0,0.0,3.9,0.51,7.97
181,Litopenaeus_vannamei,summer,poor,False,none,21.31,1.0,0.0,3.95,0.53,7.97
182,Penaeus_monodon,northeast,good,True,stratification_collapse,21.31,1.0,0.0,4.18,0.503,7.97
183,Litopenaeus_vannamei,summer,excellent,False,none,21.31,1.0,0.0,3.7,0.509,7.97
184,Penaeus_monodon,summer,good,False,none,21.31,1.0,0.0,4.52,0.507,7.97
185,Litopenaeus_vannamei,monsoon,good,False,none,21.31,1.0,0.0,4.64,0.514,7.97
186,Penaeus_monodon,winter,very_poor,False,none,21.31,1.0,0.0,4.46,0.51,7.97
187,Penaeus_monodon,winter,good,False,none,21.31,1.0,0.0,4.63,0.505,7.97
188,Litopenaeus_vannamei,northeast,excellent,False,none,21.31,1.0,0.0,4.66,0.52,7.97
189,Penaeus_monodon,northeast,good,False,none,21.31,1.0,0.0,4.29,0.502,7.97
190,Litopenaeus_vannamei,monsoon,poor,False,none,21.31,1.0,0.0,4.61,0.539,7.97
191,Litopenaeus_vannamei,winter,very_poor,False,none,21.31,1.0,0.0,3.64,0.562,7.97
192,Penaeus_monodon,northeast,excellent,False,none,21.31,1.0,0.0,4.49,0.506,7.97
193,Penaeus_monodon,monsoon,poor,True,stratification_collapse,21.31,1.0,0.0,4.71,0.513,7.97
194,Litopenaeus_vannamei,monsoon,poor,True,stratification_collapse,21.31,1.0,0.0,4.43,0.537,7.97
195,Penaeus_monodon,summer,good,True,stratification_collapse,21.31,1.0,0.0,4.39,0.504,7.97
196,Litopenaeus_vannamei,monsoon,very_poor,False,none,21.31,1.0,0.0,4.42,0.56,7.97
197,Litopenaeus_vannamei,monsoon,good,False,none,21.31,1.0,0.0,4.77,0.527,7.97
198,Litopenaeus_vannamei,winter,excellent,True,sensor_fault,21.31,1.0,0.0,4.05,0.514,7.97
199,Penaeus_monodon,winter,poor,False,none,21.31,1.0,0.0,4.49,0.511,7.97
200,Litopenaeus_vannamei,monsoon,excellent,False,none,21.31,1.0,0.0,4.51,0.51,7.97
201,Litopenaeus_vannamei,northeast,very_poor,False,none,21.31,1.0,0.0,4.35,0.545,7.97
202,Penaeus_monodon,winter,very_poor,False,none,21.31,1.0,0.0,4.35,0.508,7.97
203,Litopenaeus_vannamei,summer,very_poor,False,none,21.31,1.0,0.0,3.97,0.547,7.97
204,Penaeus_monodon,summer,good,True,stratification_collapse,21.31,1.0,0.0,4.56,0.508,7.97
205,Penaeus_monodon,winter,excellent,False,none,21.31,1.0,0.0,4.33,0.504,7.97
206,Litopenaeus_vannamei,summer,poor,False,none,21.31,1.0,0.0,4.01,0.529,7.97
207,Litopenaeus_vannamei,monsoon,excellent,True,stratification_collapse,21.31,1.0,0.0,4.49,0.514,7.97
208,Penaeus_monodon,monsoon,excellent,False,none,21.31,1.0,0.0,4.76,0.505,7.97
209,Litopenaeus_vannamei,monsoon,poor,False,none,21.31,1.0,0.0,4.55,0.528,7.97
210,Penaeus_monodon,summer,very_poor,True,stratification_collapse,21.31,1.0,0.0,3.88,0.51,7.97
211,Penaeus_monodon,monsoon,excellent,True,stratification_collapse,21.31,1.0,0.0,4.68,0.508,7.97
212,Penaeus_monodon,summer,excellent,False,none,21.31,1.0,0.0,4.38,0.503,7.97
213,Litopenaeus_vannamei,winter,good,False,none,21.31,1.0,0.0,4.14,0.521,7.97
214,Penaeus_monodon,winter,poor,False,none,21.31,1.0,0.0,4.43,0.507,7.97
215,Litopenaeus_vannamei,northeast,excellent,False,none,21.31,1.0,0.0,4.12,0.513,7.97
216,Litopenaeus_vannamei,monsoon,very_poor,False,none,21.31,1.0,0.0,4.48,0.54,7.97
217,Penaeus_monodon,monsoon,good,False,none,21.31,1.0,0.0,4.82,0.505,7.97
218,Penaeus_monodon,monsoon,excellent,False,none,21.31,1.0,0.0,4.68,0.51,7.97
219,Penaeus_monodon,summer,poor,False,none,21.31,1.0,0.0,3.88,0.513,7.97
220,Litopenaeus_vannamei,monsoon,very_poor,False,none,21.31,1.0,0.0,4.58,0.548,7.97
221,Litopenaeus_vannamei,winter,excellent,False,none,21.31,1.0,0.0,4.22,0.519,7.97
222,Litopenaeus_vannamei,monsoon,poor,False,none,21.31,1.0,0.0,4.18,0.546,7.97
223,Penaeus_monodon,northeast,very_poor,False,none,21.31,1.0,0.0,4.58,0.517,7.97
224,Litopenaeus_vannamei,monsoon,very_poor,False,none,21.31,1.0,0.0,4.41,0.561,7.97
225,Litopenaeus_vannamei,monsoon,good,False,none,21.31,1.0,0.0,4.42,0.509,7.97
226,Penaeus_monodon,summer,excellent,True,stratification_collapse,21.31,1.0,0.0,4.42,0.504,7.97
227,Penaeus_monodon,northeast,excellent,False,none,21.31,1.0,0.0,4.4,0.502,7.97
228,Litopenaeus_vannamei,monsoon,good,True,stratification_collapse,21.31,1.0,0.0,4.35,0.519,7.97
229,Litopenaeus_vannamei,monsoon,very_poor,False,none,21.31,1.0,0.0,4.35,0.547,7.97
230,Litopenaeus_vannamei,northeast,excellent,False,none,21.31,1.0,0.0,4.59,0.524,7.97
231,Litopenaeus_vannamei,monsoon,very_poor,False,none,21.31,1.0,0.0,4.48,0.547,7.97
232,Penaeus_monodon,summer,good,False,none,21.31,1.0,0.0,3.86,0.508,7.97
233,Litopenaeus_vannamei,monsoon,very_poor,False,none,21.31,1.0,0.0,4.15,0.556,7.97
234,Penaeus_monodon,northeast,excellent,False,none,21.31,1.0,0.0,4.75,0.506,7.97
235,Penaeus_monodon,summer,good,False,none,21.31,1.0,0.0,4.44,0.502,7.97
236,Penaeus_monodon,winter,poor,False,none,21.31,1.0,0.0,4.43,0.506,7.97
237,Penaeus_monodon,monsoon,good,True,stratification_collapse,21.31,1.0,0.0,4.65,0.513,7.97
238,Penaeus_monodon,summer,very_poor,False,none,21.31,1.0,0.0,4.2,0.526,7.97
239,Litopenaeus_vannamei,monsoon,good,False,none,21.31,1.0,0.0,4.4,0.515,7.97
240,Litopenaeus_vannamei,summer,poor,False,none,21.31,1.0,0.0,3.61,0.525,7.97
241,Litopenaeus_vannamei,northeast,excellent,True,stratification_collapse,21.31,1.0,0.0,4.35,0.509,7.97
242,Penaeus_monodon,summer,very_poor,False,none,21.31,1.0,0.0,3.93,0.518,7.97
243,Penaeus_monodon,winter,excellent,False,none,21.31,1.0,0.0,4.32,0.502,7.97
244,Penaeus_monodon,winter,very_poor,False,none,21.31,1.0,0.0,4.42,0.518,7.97
245,Litopenaeus_vannamei,northeast,very_poor,True,sensor_fault,21.31,1.0,0.0,3.9,0.542,7.97
246,Litopenaeus_vannamei,winter,poor,False,none,21.31,1.0,0.0,4.3,0.527,7.97
247,Penaeus_monodon,northeast,excellent,False,none,21.31,1.0,0.0,4.47,0.502,7.97
248,Penaeus_monodon,winter,good,False,none,21.31,1.0,0.0,4.34,0.512,7.97
249,Penaeus_monodon,northeast,very_poor,False,none,21.31,1.0,0.0,4.27,0.521,7.97
250,Penaeus_monodon,winter,good,False,none,21.31,1.0,0.0,4.38,0.506,7.97
251,Penaeus_monodon,winter,very_poor,False,none,21.31,1.0,0.0,4.21,0.514,7.97
252,Litopenaeus_vannamei,northeast,good,True,stratification_collapse,21.31,1.0,0.0,4.57,0.517,7.97
253,Penaeus_monodon,winter,good,False,none,21.31,1.0,0.0,4.22,0.51,7.97
254,Penaeus_monodon,northeast,very_poor,False,none,21.31,1.0,0.0,4.41,0.516,7.97
255,Litopenaeus_vannamei,northeast,excellent,False,none,21.31,1.0,0.0,4.26,0.513,7.97
256,Penaeus_monodon,northeast,very_poor,False,none,21.31,1.0,0.0,4.26,0.518,7.97
257,Penaeus_monodon,winter,excellent,True,stratification_collapse,21.31,1.0,0.0,4.55,0.506,7.97
258,Litopenaeus_vannamei,monsoon,very_poor,False,none,21.31,1.0,0.0,4.56,0.519,7.97
259,Litopenaeus_vannamei,summer,very_poor,False,none,21.31,1.0,0.0,3.38,0.554,7.97
260,Litopenaeus_vannamei,summer,very_poor,True,stratification_collapse,21.31,1.0,0.0,3.86,0.54,7.97
261,Penaeus_monodon,summer,good,False,none,21.31,1.0,0.0,4.35,0.504,7.97
262,Penaeus_monodon,winter,very_poor,True,stratification_collapse,21.31,1.0,0.0,4.26,0.519,7.97
263,Penaeus_monodon,northeast,very_poor,True,stratification_collapse,21.31,1.0,0.0,4.47,0.517,7.97
264,Penaeus_monodon,monsoon,good,False,none,21.31,1.0,0.0,4.66,0.51,7.97
265,Penaeus_monodon,winter,poor,True,stratification_collapse,21.31,1.0,0.0,4.62,0.508,7.97
266,Litopenaeus_vannamei,summer,very_poor,False,none,21.31,1.0,0.0,3.36,0.576,7.97
267,Litopenaeus_vannamei,summer,very_poor,False,none,21.31,1.0,0.0,3.61,0.574,7.97
268,Penaeus_monodon,summer,very_poor,True,stratification_collapse,21.31,1.0,0.0,4.37,0.517,7.97
269,Litopenaeus_vannamei,summer,excellent,False,none,21.31,1.0,0.0,4.14,0.508,7.97
270,Litopenaeus_vannamei,northeast,excellent,False,none,21.31,1.0,0.0,4.09,0.535,7.97
271,Penaeus_monodon,northeast,poor,False,none,21.31,1.0,0.0,4.19,0.515,7.97
272,Penaeus_monodon,northeast,excellent,False,none,21.31,1.0,0.0,4.61,0.507,7.97
273,Litopenaeus_vannamei,monsoon,poor,False,none,21.31,1.0,0.0,4.4,0.555,7.97
274,Litopenaeus_vannamei,winter,poor,False,none,21.31,1.0,0.0,4.27,0.539,7.97
